[FWD-PRE] #028 | Conv2d_4a_3x3.bn                         | bias=shape=(192,) ptr=20616936337920 size=768B
[FWD-PRE] #028 | Conv2d_4a_3x3.bn                         | running_mean=shape=(192,) ptr=20616936338944 size=768B
[FWD-PRE] #028 | Conv2d_4a_3x3.bn                         | running_var=shape=(192,) ptr=20616936339968 size=768B
[FWD-POST] #029 | Conv2d_4a_3x3.bn                         | out[0]=shape=(4, 192, 52, 52) ptr=20617139060736 size=8306688B
[FWD-PRE] #030 | relu_relu_4                              | inp[0]=shape=(4, 192, 52, 52) ptr=20617139060736 size=8306688B
[FWD-POST] #031 | relu_relu_4                              | out[0]=shape=(4, 192, 52, 52) ptr=20617147367936 size=8306688B
[FWD-PRE] #032 | maxpool2                                 | inp[0]=shape=(4, 192, 52, 52) ptr=20617147367936 size=8306688B
[FWD-POST] #033 | maxpool2                                 | out[0]=shape=(4, 192, 25, 25) ptr=20617057324032 size=1920000B
[FWD-PRE] #034 | Mixed_5b.branch1x1.conv                  | inp[0]=shape=(4, 192, 25, 25) ptr=20617057324032 size=1920000B
[FWD-PRE] #034 | Mixed_5b.branch1x1.conv                  | weight=shape=(64, 192, 1, 1) ptr=20616936341504 size=49152B
[FWD-POST] #035 | Mixed_5b.branch1x1.conv                  | out[0]=shape=(4, 64, 25, 25) ptr=20617016312320 size=640000B
[FWD-PRE] #036 | Mixed_5b.branch1x1.bn                    | inp[0]=shape=(4, 64, 25, 25) ptr=20617016312320 size=640000B
[FWD-PRE] #036 | Mixed_5b.branch1x1.bn                    | weight=shape=(64,) ptr=20616936391168 size=256B
[FWD-PRE] #036 | Mixed_5b.branch1x1.bn                    | bias=shape=(64,) ptr=20616936391680 size=256B
[FWD-PRE] #036 | Mixed_5b.branch1x1.bn                    | running_mean=shape=(64,) ptr=20616936392192 size=256B
[FWD-PRE] #036 | Mixed_5b.branch1x1.bn                    | running_var=shape=(64,) ptr=20616936392704 size=256B
[FWD-POST] #037 | Mixed_5b.branch1x1.bn                    | out[0]=shape=(4, 64, 25, 25) ptr=20617197780992 size=640000B
[FWD-PRE] #038 | relu_relu_5                              | inp[0]=shape=(4, 64, 25, 25) ptr=20617197780992 size=640000B
[FWD-POST] #039 | relu_relu_5                              | out[0]=shape=(4, 64, 25, 25) ptr=20617198421504 size=640000B
[FWD-PRE] #040 | Mixed_5b.branch5x5_1.conv                | inp[0]=shape=(4, 192, 25, 25) ptr=20617057324032 size=1920000B
[FWD-PRE] #040 | Mixed_5b.branch5x5_1.conv                | weight=shape=(48, 192, 1, 1) ptr=20616936393728 size=36864B
[FWD-POST] #041 | Mixed_5b.branch5x5_1.conv                | out[0]=shape=(4, 48, 25, 25) ptr=20616981255168 size=480000B
[FWD-PRE] #042 | Mixed_5b.branch5x5_1.bn                  | inp[0]=shape=(4, 48, 25, 25) ptr=20616981255168 size=480000B
[FWD-PRE] #042 | Mixed_5b.branch5x5_1.bn                  | weight=shape=(48,) ptr=20616936431104 size=192B
[FWD-PRE] #042 | Mixed_5b.branch5x5_1.bn                  | bias=shape=(48,) ptr=20616936431616 size=192B
[FWD-PRE] #042 | Mixed_5b.branch5x5_1.bn                  | running_mean=shape=(48,) ptr=20616936432128 size=192B
[FWD-PRE] #042 | Mixed_5b.branch5x5_1.bn                  | running_var=shape=(48,) ptr=20616936432640 size=192B
[FWD-POST] #043 | Mixed_5b.branch5x5_1.bn                  | out[0]=shape=(4, 48, 25, 25) ptr=20617197780992 size=480000B
[FWD-PRE] #044 | relu_relu_6                              | inp[0]=shape=(4, 48, 25, 25) ptr=20617197780992 size=480000B
[FWD-POST] #045 | relu_relu_6                              | out[0]=shape=(4, 48, 25, 25) ptr=20617199062016 size=480000B
[FWD-PRE] #046 | Mixed_5b.branch5x5_2.conv                | inp[0]=shape=(4, 48, 25, 25) ptr=20617199062016 size=480000B
[FWD-PRE] #046 | Mixed_5b.branch5x5_2.conv                | weight=shape=(64, 48, 5, 5) ptr=20616936433664 size=307200B
[FWD-POST] #047 | Mixed_5b.branch5x5_2.conv                | out[0]=shape=(4, 64, 25, 25) ptr=20617197780992 size=640000B
[FWD-PRE] #048 | Mixed_5b.branch5x5_2.bn                  | inp[0]=shape=(4, 64, 25, 25) ptr=20617197780992 size=640000B
[FWD-PRE] #048 | Mixed_5b.branch5x5_2.bn                  | weight=shape=(64,) ptr=20616936741376 size=256B
[FWD-PRE] #048 | Mixed_5b.branch5x5_2.bn                  | bias=shape=(64,) ptr=20616936741888 size=256B
[FWD-PRE] #048 | Mixed_5b.branch5x5_2.bn                  | running_mean=shape=(64,) ptr=20616936742400 size=256B
[FWD-PRE] #048 | Mixed_5b.branch5x5_2.bn                  | running_var=shape=(64,) ptr=20616936742912 size=256B
[FWD-POST] #049 | Mixed_5b.branch5x5_2.bn                  | out[0]=shape=(4, 64, 25, 25) ptr=20617199878144 size=640000B
[FWD-PRE] #050 | relu_relu_7                              | inp[0]=shape=(4, 64, 25, 25) ptr=20617199878144 size=640000B
[FWD-POST] #051 | relu_relu_7                              | out[0]=shape=(4, 64, 25, 25) ptr=20617200518656 size=640000B
[FWD-PRE] #052 | Mixed_5b.branch3x3dbl_1.conv             | inp[0]=shape=(4, 192, 25, 25) ptr=20617057324032 size=1920000B
[FWD-PRE] #052 | Mixed_5b.branch3x3dbl_1.conv             | weight=shape=(64, 192, 1, 1) ptr=20616936743936 size=49152B
[FWD-POST] #053 | Mixed_5b.branch3x3dbl_1.conv             | out[0]=shape=(4, 64, 25, 25) ptr=20617199878144 size=640000B
[FWD-PRE] #054 | Mixed_5b.branch3x3dbl_1.bn               | inp[0]=shape=(4, 64, 25, 25) ptr=20617199878144 size=640000B
[FWD-PRE] #054 | Mixed_5b.branch3x3dbl_1.bn               | weight=shape=(64,) ptr=20616936793600 size=256B
[FWD-PRE] #054 | Mixed_5b.branch3x3dbl_1.bn               | bias=shape=(64,) ptr=20616936794112 size=256B
[FWD-PRE] #054 | Mixed_5b.branch3x3dbl_1.bn               | running_mean=shape=(64,) ptr=20616936794624 size=256B
[FWD-PRE] #054 | Mixed_5b.branch3x3dbl_1.bn               | running_var=shape=(64,) ptr=20616936795136 size=256B
[FWD-POST] #055 | Mixed_5b.branch3x3dbl_1.bn               | out[0]=shape=(4, 64, 25, 25) ptr=20617201159168 size=640000B
[FWD-PRE] #056 | relu_relu_8                              | inp[0]=shape=(4, 64, 25, 25) ptr=20617201159168 size=640000B
[FWD-POST] #057 | relu_relu_8                              | out[0]=shape=(4, 64, 25, 25) ptr=20617201975296 size=640000B
[FWD-PRE] #058 | Mixed_5b.branch3x3dbl_2.conv             | inp[0]=shape=(4, 64, 25, 25) ptr=20617201975296 size=640000B
[FWD-PRE] #058 | Mixed_5b.branch3x3dbl_2.conv             | weight=shape=(96, 64, 3, 3) ptr=20616936796160 size=221184B
[FWD-POST] #059 | Mixed_5b.branch3x3dbl_2.conv             | out[0]=shape=(4, 96, 25, 25) ptr=20617202615808 size=960000B
[FWD-PRE] #060 | Mixed_5b.branch3x3dbl_2.bn               | inp[0]=shape=(4, 96, 25, 25) ptr=20617202615808 size=960000B
[FWD-PRE] #060 | Mixed_5b.branch3x3dbl_2.bn               | weight=shape=(96,) ptr=20616937017856 size=384B
[FWD-PRE] #060 | Mixed_5b.branch3x3dbl_2.bn               | bias=shape=(96,) ptr=20616937018368 size=384B
[FWD-PRE] #060 | Mixed_5b.branch3x3dbl_2.bn               | running_mean=shape=(96,) ptr=20616937018880 size=384B
[FWD-PRE] #060 | Mixed_5b.branch3x3dbl_2.bn               | running_var=shape=(96,) ptr=20616937019392 size=384B
[FWD-POST] #061 | Mixed_5b.branch3x3dbl_2.bn               | out[0]=shape=(4, 96, 25, 25) ptr=20617204072448 size=960000B
[FWD-PRE] #062 | relu_relu_9                              | inp[0]=shape=(4, 96, 25, 25) ptr=20617204072448 size=960000B
[FWD-POST] #063 | relu_relu_9                              | out[0]=shape=(4, 96, 25, 25) ptr=20617205032960 size=960000B
[FWD-PRE] #064 | Mixed_5b.branch3x3dbl_3.conv             | inp[0]=shape=(4, 96, 25, 25) ptr=20617205032960 size=960000B
[FWD-PRE] #064 | Mixed_5b.branch3x3dbl_3.conv             | weight=shape=(96, 96, 3, 3) ptr=20616937020416 size=331776B
[FWD-POST] #065 | Mixed_5b.branch3x3dbl_3.conv             | out[0]=shape=(4, 96, 25, 25) ptr=20617204072448 size=960000B
[FWD-PRE] #066 | Mixed_5b.branch3x3dbl_3.bn               | inp[0]=shape=(4, 96, 25, 25) ptr=20617204072448 size=960000B
[FWD-PRE] #066 | Mixed_5b.branch3x3dbl_3.bn               | weight=shape=(96,) ptr=20616937352704 size=384B
[FWD-PRE] #066 | Mixed_5b.branch3x3dbl_3.bn               | bias=shape=(96,) ptr=20616937353216 size=384B
[FWD-PRE] #066 | Mixed_5b.branch3x3dbl_3.bn               | running_mean=shape=(96,) ptr=20616937353728 size=384B
[FWD-PRE] #066 | Mixed_5b.branch3x3dbl_3.bn               | running_var=shape=(96,) ptr=20616937354240 size=384B
[FWD-POST] #067 | Mixed_5b.branch3x3dbl_3.bn               | out[0]=shape=(4, 96, 25, 25) ptr=20617206169600 size=960000B
[FWD-PRE] #068 | relu_relu_10                             | inp[0]=shape=(4, 96, 25, 25) ptr=20617206169600 size=960000B
[FWD-POST] #069 | relu_relu_10                             | out[0]=shape=(4, 96, 25, 25) ptr=20617207130112 size=960000B
[FWD-PRE] #070 | Mixed_5b.branch_pool.conv                | inp[0]=shape=(4, 192, 25, 25) ptr=20617121405952 size=1920000B
[FWD-PRE] #070 | Mixed_5b.branch_pool.conv                | weight=shape=(32, 192, 1, 1) ptr=20616937355264 size=24576B
[FWD-POST] #071 | Mixed_5b.branch_pool.conv                | out[0]=shape=(4, 32, 25, 25) ptr=20616983545344 size=320000B
[FWD-PRE] #072 | Mixed_5b.branch_pool.bn                  | inp[0]=shape=(4, 32, 25, 25) ptr=20616983545344 size=320000B
[FWD-PRE] #072 | Mixed_5b.branch_pool.bn                  | weight=shape=(32,) ptr=20616937380352 size=128B
[FWD-PRE] #072 | Mixed_5b.branch_pool.bn                  | bias=shape=(32,) ptr=20616937380864 size=128B
[FWD-PRE] #072 | Mixed_5b.branch_pool.bn                  | running_mean=shape=(32,) ptr=20616937381376 size=128B
[FWD-PRE] #072 | Mixed_5b.branch_pool.bn                  | running_var=shape=(32,) ptr=20616937381888 size=128B
[FWD-POST] #073 | Mixed_5b.branch_pool.bn                  | out[0]=shape=(4, 32, 25, 25) ptr=20616991933952 size=320000B
[FWD-PRE] #074 | relu_relu_11                             | inp[0]=shape=(4, 32, 25, 25) ptr=20616991933952 size=320000B
[FWD-POST] #075 | relu_relu_11                             | out[0]=shape=(4, 32, 25, 25) ptr=20617199542272 size=320000B
[FWD-POST] #077 | cat_cat                                  | out[0]=shape=(4, 256, 25, 25) ptr=20617062355456 size=2560000B
[FWD-PRE] #078 | Mixed_5c.branch1x1.conv                  | inp[0]=shape=(4, 256, 25, 25) ptr=20617062355456 size=2560000B
[FWD-PRE] #078 | Mixed_5c.branch1x1.conv                  | weight=shape=(64, 256, 1, 1) ptr=20616937382912 size=65536B
[FWD-POST] #079 | Mixed_5c.branch1x1.conv                  | out[0]=shape=(4, 64, 25, 25) ptr=20617201159168 size=640000B
[FWD-PRE] #080 | Mixed_5c.branch1x1.bn                    | inp[0]=shape=(4, 64, 25, 25) ptr=20617201159168 size=640000B
[FWD-PRE] #080 | Mixed_5c.branch1x1.bn                    | weight=shape=(64,) ptr=20616937448960 size=256B
[FWD-PRE] #080 | Mixed_5c.branch1x1.bn                    | bias=shape=(64,) ptr=20616937449472 size=256B
[FWD-PRE] #080 | Mixed_5c.branch1x1.bn                    | running_mean=shape=(64,) ptr=20616937449984 size=256B
[FWD-PRE] #080 | Mixed_5c.branch1x1.bn                    | running_var=shape=(64,) ptr=20616937450496 size=256B
[FWD-POST] #081 | Mixed_5c.branch1x1.bn                    | out[0]=shape=(4, 64, 25, 25) ptr=20617206169600 size=640000B
[FWD-PRE] #082 | relu_relu_12                             | inp[0]=shape=(4, 64, 25, 25) ptr=20617206169600 size=640000B
[FWD-POST] #083 | relu_relu_12                             | out[0]=shape=(4, 64, 25, 25) ptr=20617208266752 size=640000B
[FWD-PRE] #084 | Mixed_5c.branch5x5_1.conv                | inp[0]=shape=(4, 256, 25, 25) ptr=20617062355456 size=2560000B
[FWD-PRE] #084 | Mixed_5c.branch5x5_1.conv                | weight=shape=(48, 256, 1, 1) ptr=20616937451520 size=49152B
[FWD-POST] #085 | Mixed_5c.branch5x5_1.conv                | out[0]=shape=(4, 48, 25, 25) ptr=20617203576320 size=480000B
[FWD-PRE] #086 | Mixed_5c.branch5x5_1.bn                  | inp[0]=shape=(4, 48, 25, 25) ptr=20617203576320 size=480000B
[FWD-PRE] #086 | Mixed_5c.branch5x5_1.bn                  | weight=shape=(48,) ptr=20616937501184 size=192B
[FWD-PRE] #086 | Mixed_5c.branch5x5_1.bn                  | bias=shape=(48,) ptr=20616937501696 size=192B
[FWD-PRE] #086 | Mixed_5c.branch5x5_1.bn                  | running_mean=shape=(48,) ptr=20616937502208 size=192B
[FWD-PRE] #086 | Mixed_5c.branch5x5_1.bn                  | running_var=shape=(48,) ptr=20616937502720 size=192B
[FWD-POST] #087 | Mixed_5c.branch5x5_1.bn                  | out[0]=shape=(4, 48, 25, 25) ptr=20617206169600 size=480000B
[FWD-PRE] #088 | relu_relu_13                             | inp[0]=shape=(4, 48, 25, 25) ptr=20617206169600 size=480000B
[FWD-POST] #089 | relu_relu_13                             | out[0]=shape=(4, 48, 25, 25) ptr=20617206649856 size=480000B
[FWD-PRE] #090 | Mixed_5c.branch5x5_2.conv                | inp[0]=shape=(4, 48, 25, 25) ptr=20617206649856 size=480000B
[FWD-PRE] #090 | Mixed_5c.branch5x5_2.conv                | weight=shape=(64, 48, 5, 5) ptr=20616937734144 size=307200B
[FWD-POST] #091 | Mixed_5c.branch5x5_2.conv                | out[0]=shape=(4, 64, 25, 25) ptr=20617208907264 size=640000B
[FWD-PRE] #092 | Mixed_5c.branch5x5_2.bn                  | inp[0]=shape=(4, 64, 25, 25) ptr=20617208907264 size=640000B
[FWD-PRE] #092 | Mixed_5c.branch5x5_2.bn                  | weight=shape=(64,) ptr=20616937503744 size=256B
[FWD-PRE] #092 | Mixed_5c.branch5x5_2.bn                  | bias=shape=(64,) ptr=20616937504256 size=256B
[FWD-PRE] #092 | Mixed_5c.branch5x5_2.bn                  | running_mean=shape=(64,) ptr=20616937504768 size=256B
[FWD-PRE] #092 | Mixed_5c.branch5x5_2.bn                  | running_var=shape=(64,) ptr=20616937505280 size=256B
[FWD-POST] #093 | Mixed_5c.branch5x5_2.bn                  | out[0]=shape=(4, 64, 25, 25) ptr=20617209547776 size=640000B
[FWD-PRE] #094 | relu_relu_14                             | inp[0]=shape=(4, 64, 25, 25) ptr=20617209547776 size=640000B
[FWD-POST] #095 | relu_relu_14                             | out[0]=shape=(4, 64, 25, 25) ptr=20617210363904 size=640000B
[FWD-PRE] #096 | Mixed_5c.branch3x3dbl_1.conv             | inp[0]=shape=(4, 256, 25, 25) ptr=20617062355456 size=2560000B
[FWD-PRE] #096 | Mixed_5c.branch3x3dbl_1.conv             | weight=shape=(64, 256, 1, 1) ptr=20616937506304 size=65536B
[FWD-POST] #097 | Mixed_5c.branch3x3dbl_1.conv             | out[0]=shape=(4, 64, 25, 25) ptr=20617209547776 size=640000B
[FWD-PRE] #098 | Mixed_5c.branch3x3dbl_1.bn               | inp[0]=shape=(4, 64, 25, 25) ptr=20617209547776 size=640000B
[FWD-PRE] #098 | Mixed_5c.branch3x3dbl_1.bn               | weight=shape=(64,) ptr=20616937572352 size=256B
[FWD-PRE] #098 | Mixed_5c.branch3x3dbl_1.bn               | bias=shape=(64,) ptr=20616937572864 size=256B
[FWD-PRE] #098 | Mixed_5c.branch3x3dbl_1.bn               | running_mean=shape=(64,) ptr=20616937573376 size=256B
[FWD-PRE] #098 | Mixed_5c.branch3x3dbl_1.bn               | running_var=shape=(64,) ptr=20616937573888 size=256B
[FWD-POST] #099 | Mixed_5c.branch3x3dbl_1.bn               | out[0]=shape=(4, 64, 25, 25) ptr=20617211004416 size=640000B
[FWD-PRE] #100 | relu_relu_15                             | inp[0]=shape=(4, 64, 25, 25) ptr=20617211004416 size=640000B
[FWD-POST] #101 | relu_relu_15                             | out[0]=shape=(4, 64, 25, 25) ptr=20617211644928 size=640000B
[FWD-PRE] #102 | Mixed_5c.branch3x3dbl_2.conv             | inp[0]=shape=(4, 64, 25, 25) ptr=20617211644928 size=640000B
[FWD-PRE] #102 | Mixed_5c.branch3x3dbl_2.conv             | weight=shape=(96, 64, 3, 3) ptr=20616938041856 size=221184B
[FWD-POST] #103 | Mixed_5c.branch3x3dbl_2.conv             | out[0]=shape=(4, 96, 25, 25) ptr=20617212461056 size=960000B
[FWD-PRE] #104 | Mixed_5c.branch3x3dbl_2.bn               | inp[0]=shape=(4, 96, 25, 25) ptr=20617212461056 size=960000B
[FWD-PRE] #104 | Mixed_5c.branch3x3dbl_2.bn               | weight=shape=(96,) ptr=20616937574912 size=384B
[FWD-PRE] #104 | Mixed_5c.branch3x3dbl_2.bn               | bias=shape=(96,) ptr=20616937575424 size=384B
[FWD-PRE] #104 | Mixed_5c.branch3x3dbl_2.bn               | running_mean=shape=(96,) ptr=20616937575936 size=384B
[FWD-PRE] #104 | Mixed_5c.branch3x3dbl_2.bn               | running_var=shape=(96,) ptr=20616937576448 size=384B
[FWD-POST] #105 | Mixed_5c.branch3x3dbl_2.bn               | out[0]=shape=(4, 96, 25, 25) ptr=20617213421568 size=960000B
[FWD-PRE] #106 | relu_relu_16                             | inp[0]=shape=(4, 96, 25, 25) ptr=20617213421568 size=960000B
[FWD-POST] #107 | relu_relu_16                             | out[0]=shape=(4, 96, 25, 25) ptr=20617214558208 size=960000B
[FWD-PRE] #108 | Mixed_5c.branch3x3dbl_3.conv             | inp[0]=shape=(4, 96, 25, 25) ptr=20617214558208 size=960000B
[FWD-PRE] #108 | Mixed_5c.branch3x3dbl_3.conv             | weight=shape=(96, 96, 3, 3) ptr=20616938263552 size=331776B
[FWD-POST] #109 | Mixed_5c.branch3x3dbl_3.conv             | out[0]=shape=(4, 96, 25, 25) ptr=20617213421568 size=960000B
[FWD-PRE] #110 | Mixed_5c.branch3x3dbl_3.bn               | inp[0]=shape=(4, 96, 25, 25) ptr=20617213421568 size=960000B
[FWD-PRE] #110 | Mixed_5c.branch3x3dbl_3.bn               | weight=shape=(96,) ptr=20616937577472 size=384B
[FWD-PRE] #110 | Mixed_5c.branch3x3dbl_3.bn               | bias=shape=(96,) ptr=20616937577984 size=384B
[FWD-PRE] #110 | Mixed_5c.branch3x3dbl_3.bn               | running_mean=shape=(96,) ptr=20616937578496 size=384B
[FWD-PRE] #110 | Mixed_5c.branch3x3dbl_3.bn               | running_var=shape=(96,) ptr=20616937579008 size=384B
[FWD-POST] #111 | Mixed_5c.branch3x3dbl_3.bn               | out[0]=shape=(4, 96, 25, 25) ptr=20617215518720 size=960000B
[FWD-PRE] #112 | relu_relu_17                             | inp[0]=shape=(4, 96, 25, 25) ptr=20617215518720 size=960000B
[FWD-POST] #113 | relu_relu_17                             | out[0]=shape=(4, 96, 25, 25) ptr=20617216655360 size=960000B
[FWD-PRE] #114 | Mixed_5c.branch_pool.conv                | inp[0]=shape=(4, 256, 25, 25) ptr=20617071536128 size=2560000B
[FWD-PRE] #114 | Mixed_5c.branch_pool.conv                | weight=shape=(64, 256, 1, 1) ptr=20616937580032 size=65536B
[FWD-POST] #115 | Mixed_5c.branch_pool.conv                | out[0]=shape=(4, 64, 25, 25) ptr=20617211004416 size=640000B
[FWD-PRE] #116 | Mixed_5c.branch_pool.bn                  | inp[0]=shape=(4, 64, 25, 25) ptr=20617211004416 size=640000B
[FWD-PRE] #116 | Mixed_5c.branch_pool.bn                  | weight=shape=(64,) ptr=20616937646080 size=256B
[FWD-PRE] #116 | Mixed_5c.branch_pool.bn                  | bias=shape=(64,) ptr=20616937646592 size=256B
[FWD-PRE] #116 | Mixed_5c.branch_pool.bn                  | running_mean=shape=(64,) ptr=20616937647104 size=256B
[FWD-PRE] #116 | Mixed_5c.branch_pool.bn                  | running_var=shape=(64,) ptr=20616937647616 size=256B
[FWD-POST] #117 | Mixed_5c.branch_pool.bn                  | out[0]=shape=(4, 64, 25, 25) ptr=20617215518720 size=640000B
[FWD-PRE] #118 | relu_relu_18                             | inp[0]=shape=(4, 64, 25, 25) ptr=20617215518720 size=640000B
[FWD-POST] #119 | relu_relu_18                             | out[0]=shape=(4, 64, 25, 25) ptr=20617217615872 size=640000B
[FWD-POST] #121 | cat_cat_1                                | out[0]=shape=(4, 288, 25, 25) ptr=20617101230592 size=2880000B
[FWD-PRE] #122 | Mixed_5d.branch1x1.conv                  | inp[0]=shape=(4, 288, 25, 25) ptr=20617101230592 size=2880000B
[FWD-PRE] #122 | Mixed_5d.branch1x1.conv                  | weight=shape=(64, 288, 1, 1) ptr=20616937648640 size=73728B
[FWD-POST] #123 | Mixed_5d.branch1x1.conv                  | out[0]=shape=(4, 64, 25, 25) ptr=20617215518720 size=640000B
[FWD-PRE] #124 | Mixed_5d.branch1x1.bn                    | inp[0]=shape=(4, 64, 25, 25) ptr=20617215518720 size=640000B
[FWD-PRE] #124 | Mixed_5d.branch1x1.bn                    | weight=shape=(64,) ptr=20616937722880 size=256B
