# Module Profiling Results (NPU:7)
# Total modules: 313
====================================================================================================

Hook:56 | Mixed_5c.branch3x3dbl_3.conv | Type:Conv2d | FWD:572.46±9.00us | BWD:2974.90±9.35us | In:(128, 96, 35, 35) | Out:(128, 96, 35, 35) | Params:82944

Hook:45 | Mixed_5c.branch5x5_1.bn | Type:BatchNorm2d | FWD:431.30±7.41us | BWD:1450.27±5.82us | In:(128, 48, 35, 35) | Out:(128, 48, 35, 35) | Params:96

Hook:44 | Mixed_5c.branch5x5_1.conv | Type:Conv2d | FWD:614.64±4.41us | BWD:2268.71±4.81us | In:(128, 256, 35, 35) | Out:(128, 48, 35, 35) | Params:12288

Hook:48 | Mixed_5c.branch5x5_2.bn | Type:BatchNorm2d | FWD:465.56±21.73us | BWD:1797.00±10.44us | In:(128, 64, 35, 35) | Out:(128, 64, 35, 35) | Params:128

Hook:47 | Mixed_5c.branch5x5_2.conv | Type:Conv2d | FWD:510.46±14.50us | BWD:2374.86±5.46us | In:(128, 48, 35, 35) | Out:(128, 64, 35, 35) | Params:76800

Hook:61 | Mixed_5c.branch_pool.bn | Type:BatchNorm2d | FWD:462.95±9.27us | BWD:1794.65±7.26us | In:(128, 64, 35, 35) | Out:(128, 64, 35, 35) | Params:128

Hook:60 | Mixed_5c.branch_pool.conv | Type:Conv2d | FWD:670.76±1.92us | BWD:2622.74±8.77us | In:(128, 256, 35, 35) | Out:(128, 64, 35, 35) | Params:16384

Hook:65 | Mixed_5d.branch1x1.bn | Type:BatchNorm2d | FWD:420.81±17.84us | BWD:1741.37±10.70us | In:(128, 64, 35, 35) | Out:(128, 64, 35, 35) | Params:128

Hook:64 | Mixed_5d.branch1x1.conv | Type:Conv2d | FWD:695.25±7.34us | BWD:2796.04±8.99us | In:(128, 288, 35, 35) | Out:(128, 64, 35, 35) | Params:18432

Hook:74 | Mixed_5d.branch3x3dbl_1.bn | Type:BatchNorm2d | FWD:416.20±8.40us | BWD:1737.00±14.13us | In:(128, 64, 35, 35) | Out:(128, 64, 35, 35) | Params:128

Hook:73 | Mixed_5d.branch3x3dbl_1.conv | Type:Conv2d | FWD:685.30±11.35us | BWD:2785.20±6.96us | In:(128, 288, 35, 35) | Out:(128, 64, 35, 35) | Params:18432

Hook:77 | Mixed_5d.branch3x3dbl_2.bn | Type:BatchNorm2d | FWD:497.80±14.51us | BWD:2515.84±9.01us | In:(128, 96, 35, 35) | Out:(128, 96, 35, 35) | Params:192

Hook:76 | Mixed_5d.branch3x3dbl_2.conv | Type:Conv2d | FWD:394.73±27.07us | BWD:2585.25±31.45us | In:(128, 64, 35, 35) | Out:(128, 96, 35, 35) | Params:55296

Hook:80 | Mixed_5d.branch3x3dbl_3.bn | Type:BatchNorm2d | FWD:491.13±12.21us | BWD:2515.94±12.13us | In:(128, 96, 35, 35) | Out:(128, 96, 35, 35) | Params:192

Hook:79 | Mixed_5d.branch3x3dbl_3.conv | Type:Conv2d | FWD:556.41±20.00us | BWD:2938.95±18.17us | In:(128, 96, 35, 35) | Out:(128, 96, 35, 35) | Params:82944

Hook:68 | Mixed_5d.branch5x5_1.bn | Type:BatchNorm2d | FWD:391.32±13.26us | BWD:1398.76±5.82us | In:(128, 48, 35, 35) | Out:(128, 48, 35, 35) | Params:96

Hook:67 | Mixed_5d.branch5x5_1.conv | Type:Conv2d | FWD:654.92±8.92us | BWD:2461.50±8.50us | In:(128, 288, 35, 35) | Out:(128, 48, 35, 35) | Params:13824

Hook:71 | Mixed_5d.branch5x5_2.bn | Type:BatchNorm2d | FWD:418.59±16.41us | BWD:1737.01±7.88us | In:(128, 64, 35, 35) | Out:(128, 64, 35, 35) | Params:128

Hook:70 | Mixed_5d.branch5x5_2.conv | Type:Conv2d | FWD:482.28±13.00us | BWD:2342.12±7.67us | In:(128, 48, 35, 35) | Out:(128, 64, 35, 35) | Params:76800

Hook:84 | Mixed_5d.branch_pool.bn | Type:BatchNorm2d | FWD:445.30±47.76us | BWD:1742.43±11.82us | In:(128, 64, 35, 35) | Out:(128, 64, 35, 35) | Params:128

Hook:83 | Mixed_5d.branch_pool.conv | Type:Conv2d | FWD:680.53±4.72us | BWD:2784.84±10.94us | In:(128, 288, 35, 35) | Out:(128, 64, 35, 35) | Params:18432

Hook:88 | Mixed_6a.branch3x3.bn | Type:BatchNorm2d | FWD:523.88±22.73us | BWD:2402.22±15.63us | In:(128, 384, 17, 17) | Out:(128, 384, 17, 17) | Params:768

Hook:87 | Mixed_6a.branch3x3.conv | Type:Conv2d | FWD:1583.72±9.33us | BWD:8126.46±10.68us | In:(128, 288, 35, 35) | Out:(128, 384, 17, 17) | Params:995328

